rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
16,Antrax @UCNbwP-bKUlKrE_5qDwvFILQ,16.1M,-,Mexico,,4.8M,Antrax,16500000,3198320224,764
17,MissaSinfonia @UCsCQIvK0LGpb3dBRo2RXAfA,16M,7.30%,Mexico,,4.8M,MissaSinfonia,19600000,2701018998,241
18,Fede Vigevani @UCoQm-PeHC-cbJclKJYJ8LzA,15.7M,1.10%,Mexico,,4.7M,Fede Vigevani,62300000,18366062147,1445
19,Totoy kids - Español @UCiqE9bJFJhPEOVGdpj2LdEg,15.2M,-,Mexico,,4.6M,José Totoy - Español ,18100000,703648591,267
20,Blippi Español @UC4YImPQT-_0kCh5joATwyhw,14.8M,-,Mexico,,4.4M,Blippi Español,17900000,10721775850,834
21,Mis Pastelitos @mispastelitos,14M,0.80%,Mexico,,4.2M,123 GO! Spanish,14200000,5242985880,944
22,123 GO! Spanish @UCYtt2TP3sqR9_qXnc1G4eRA,13.7M,-,Mexico,,4.1M,TV Ana Emilia,14900000,5108007484,907
23,TV Ana Emilia @UCdPyv-GXDxlOeonqYKtKMSQ,13.7M,-,Mexico,,4.1M,E-MasterSensei,18100000,4863557985,1455
24,E-MasterSensei @UC3osN7-7XJq3NEoKZIUUx0w,12.9M,0.20%,Mexico,,3.9M,Gibby :),12700000,3033357792,379
25,Gibby :) @UCY62oxtmOKk5-JLJOXBMWnA,12.3M,0.40%,Mexico,,3.7M,Yair17,13300000,1647119656,1300
26,Yair17 @UCXH1p4gixwXwrUGSx-WvLNQ,12M,-,Mexico,,3.6M,Garena Free Fire LATAM,12600000,1909017726,2548
27,Garena Free Fire LATAM @UC1ZPgKGxaT5P7QKN_bk9xkw,11.5M,-,Mexico,,3.5M,elcarteldesantatv,13300000,9230589390,389
28,elcarteldesantatv @UCunw-c0EKIX5LpPo8GpA2Aw,11.4M,0.10%,Mexico,,3.4M,Franco Escamilla,13800000,5368851027,3369
29,Franco Escamilla @UCUjrDJokSX8JavRwy5iUOkA,11.1M,-,Mexico,,3.3M,Hueva,12000000,3412981968,1055
30,Hueva @UCe7VVljK2G15Bdxfr-xQoMw,11.1M,-,Mexico,,3.3M,Juanpa Zurita,11200000,866303056,324
31,Juanpa Zurita @UCUo7T81zvCqpPhfsPb_kajA,10.9M,0.30%,Mexico,,3.3M,Craftingeek*,10500000,1544751866,1128
32,Craftingeek @UCXnBB3IuuXAH2kDr69-632A,10.5M,-,Mexico,,3.2M,LA DIVAZA,10400000,915498626,225
33,LA DIVAZA @UCY_37NEvihrX3Te637OTxOg,10.4M,0.10%,Mexico,,3.1M,Pinkfong en español - Canciones Infantiles,15800000,7514518342,2364
34,Pinkfong en español - Canciones Infantiles @UCrYwqJZ-AnvnyF8vRndgvnA,10.2M,-,Mexico,,3.1M,Luan Palomera,10500000,1915054259,875
